price,buy_vol,sell_vol,delta,total_vol
3987.9,119,98,21,217
3987.8,156,83,73,239
3987.7,90,80,10,170
3987.6,75,63,12,138
3987.5,103,141,-38,244
3987.4,69,58,11,127
3987.3,64,88,-24,152
3987.2,40,67,-27,107
3987.1,63,81,-18,144
3987.0,82,116,-34,198
3986.9,38,44,-6,82
3986.8,73,63,10,136
3986.7,45,43,2,88
3986.6,39,61,-22,100
3986.5,37,32,5,69
3986.4,53,38,15,91
3986.3,43,31,12,74
3986.2,70,62,8,132
3986.1,78,41,37,119
3986.0,78,58,20,136
3985.9,70,64,6,134
3985.8,49,53,-4,102
3985.7,47,85,-38,132
3985.6,60,54,6,114
3985.5,81,63,18,144
3985.4,66,66,0,132
3985.3,33,57,-24,90
3985.2,85,60,25,145
3985.1,43,55,-12,98
3985.0,118,94,24,212
3984.9,39,45,-6,84
3984.8,43,60,-17,103
3984.7,43,43,0,86
3984.6,53,41,12,94
3984.5,50,48,2,98
3984.4,56,42,14,98
3984.3,56,78,-22,134
3984.2,71,68,3,139
3984.1,50,81,-31,131
3984.0,130,80,50,210
3983.9,47,62,-15,109
3983.8,75,47,28,122
3983.7,56,45,11,101
3983.6,68,50,18,118
3983.5,132,51,81,183
3983.4,66,68,-2,134
3983.3,57,61,-4,118
3983.2,56,48,8,104
3983.1,58,69,-11,127
3983.0,54,97,-43,151
3982.9,33,59,-26,92
3982.8,53,50,3,103
3982.7,61,53,8,114
3982.6,36,43,-7,79
3982.5,26,45,-19,71
3982.4,27,34,-7,61
3982.3,24,23,1,47
3982.2,24,40,-16,64
3982.1,21,25,-4,46
3982.0,34,31,3,65
3981.9,35,22,13,57
3981.8,23,26,-3,49
3981.7,12,21,-9,33
3981.6,29,28,1,57
3981.5,22,24,-2,46
3981.4,31,25,6,56
3981.3,36,47,-11,83
3981.2,42,40,2,82
3981.1,24,30,-6,54
3981.0,55,47,8,102
3980.9,54,35,19,89
3980.8,43,45,-2,88
3980.7,63,34,29,97
3980.6,32,37,-5,69
3980.5,75,48,27,123
3980.4,37,49,-12,86
3980.3,46,52,-6,98
3980.2,38,95,-57,133
3980.1,41,81,-40,122
3980.0,80,84,-4,164
3979.9,47,33,14,80
3979.8,67,40,27,107
3979.7,41,35,6,76
3979.6,43,43,0,86
3979.5,26,52,-26,78
3979.4,27,31,-4,58
3979.3,31,47,-16,78
3979.2,44,34,10,78
3979.1,48,45,3,93
3979.0,34,52,-18,86
3978.9,36,26,10,62
3978.8,25,22,3,47
3978.7,19,28,-9,47
3978.6,25,25,0,50
3978.5,14,17,-3,31
3978.4,19,27,-8,46
3978.3,11,13,-2,24
3978.2,22,26,-4,48
3978.1,12,28,-16,40
3978.0,26,77,-51,103
3977.9,11,22,-11,33
3977.8,14,24,-10,38
3977.7,53,26,27,79
3977.6,11,9,2,20
3977.5,12,10,2,22
3977.4,3,14,-11,17
3977.3,9,17,-8,26
3977.2,6,11,-5,17
3977.1,6,13,-7,19
3977.0,13,11,2,24
3976.9,8,7,1,15
3976.8,6,9,-3,15
3976.7,6,12,-6,18
3976.6,7,9,-2,16
3976.5,11,9,2,20
3976.4,13,11,2,24
3976.3,3,7,-4,10
3976.2,10,11,-1,21
3976.1,9,13,-4,22
3976.0,17,16,1,33
3975.9,7,19,-12,26
3975.8,17,31,-14,48
3975.7,15,16,-1,31
3975.6,9,25,-16,34
3975.5,12,33,-21,45
3975.4,20,10,10,30
3975.3,74,21,53,95
3975.2,24,24,0,48
3975.1,21,18,3,39
3975.0,13,48,-35,61
3974.9,13,15,-2,28
3974.8,27,11,16,38
3974.7,5,11,-6,16
3974.6,15,13,2,28
3974.5,15,2,13,17
3974.4,4,1,3,5
3974.3,9,5,4,14
3974.2,1,7,-6,8
3974.1,1,2,-1,3
3974.0,3,6,-3,9
3973.9,3,4,-1,7
3973.8,3,6,-3,9
3973.7,0,4,-4,4
3973.6,0,9,-9,9
3973.5,0,6,-6,6
3973.4,0,1,-1,1
